reconciliation_status,match_stage,tally_row_id,blinkit_row_id,tally_invoice_number,blinkit_invoice_number,tally_invoice_number_clean,blinkit_invoice_number_clean,tally_invoice_date,blinkit_invoice_date,tally_invoice_date_clean,blinkit_invoice_date_clean,tally_amount,blinkit_amount,amount_difference,date_difference_days,remarks
DATE_AND_AMOUNT_MISMATCH,STAGE_2_3_SAME_INVOICE,62,39,NY/23-24/416,NY/23-24/416,NY/23-24/416,NY/23-24/416,30-Jan-24,22/02/2024,2024-01-30,2024-02-22,32121.00,32120.68,0.32,-23,Invoice number matched but date and amount differ
DATE_AND_AMOUNT_MISMATCH,STAGE_2_3_SAME_INVOICE,64,40,NY/23-24/433,NY/23-24/433,NY/23-24/433,NY/23-24/433,14-Feb-24,25/02/2024,2024-02-14,2024-02-25,118988.00,118988.14,-0.14,-11,Invoice number matched but date and amount differ
DATE_AND_AMOUNT_MISMATCH,STAGE_2_3_SAME_INVOICE,65,42,NY/23-24/438,NY/23-24/438,NY/23-24/438,NY/23-24/438,22-Feb-24,08/03/2024,2024-02-22,2024-03-08,44448.00,44448.62,-0.62,-15,Invoice number matched but date and amount differ
DATE_AND_AMOUNT_MISMATCH,STAGE_2_3_SAME_INVOICE,68,43,NY/23-24/444,NY/23-24/444,NY/23-24/444,NY/23-24/444,29-Feb-24,22/03/2024,2024-02-29,2024-03-22,231804.00,231805.70,-1.70,-22,Invoice number matched but date and amount differ
DATE_AND_AMOUNT_MISMATCH,STAGE_2_3_SAME_INVOICE,70,46,NY/23-24/491,NY/23-24/491,NY/23-24/491,NY/23-24/491,30-Mar-24,14/05/2024,2024-03-30,2024-05-14,83343.00,83343.63,-0.63,-45,Invoice number matched but date and amount differ
DATE_AND_AMOUNT_MISMATCH,STAGE_2_3_SAME_INVOICE,71,45,NY/24-25/17,NY/24-25/17,NY/24-25/17,NY/24-25/17,12-Apr-24,13/05/2024,2024-04-12,2024-05-13,47426.00,47425.88,0.12,-31,Invoice number matched but date and amount differ
DATE_AND_AMOUNT_MISMATCH,STAGE_2_3_SAME_INVOICE,72,48,NY/24-25/23,NY/24-25/23,NY/24-25/23,NY/24-25/23,17-Apr-24,21/05/2024,2024-04-17,2024-05-21,92331.00,92330.70,0.30,-34,Invoice number matched but date and amount differ
DATE_AND_AMOUNT_MISMATCH,STAGE_2_3_SAME_INVOICE,73,47,NY/24-25/25,NY/24-25/25,NY/24-25/25,NY/24-25/25,18-Apr-24,18/05/2024,2024-04-18,2024-05-18,100329.00,100329.41,-0.41,-30,Invoice number matched but date and amount differ
POSSIBLE_INVOICE_NUMBER_MISMATCH,SOURCE_REMARKS_AMOUNT_NEAR_MATCH,16,4,NY/23-24/023,NY/23-24/028,NY/23-24/023,NY/23-24/028,28-Apr-23,17/05/2023,2023-04-28,2023-05-17,240981.00,240981.55,-0.55,-19,Source remarks indicate wrong invoice number; amounts are within 1.00
TALLY_ONLY,,19,,NY/23-24/097,,NY/23-24/097,,31-May-23,,2023-05-31,,43239.00,,43239.00,,Invoice found only in Tally
TALLY_ONLY,,20,,NY/23-24/098,,NY/23-24/098,,31-May-23,,2023-05-31,,59098.00,,59098.00,,Invoice found only in Tally
TALLY_ONLY,,24,,NY/23-24/161,,NY/23-24/161,,29-Jun-23,,2023-06-29,,55347.00,,55347.00,,Invoice found only in Tally
TALLY_ONLY,,26,,NY/23-24/208,,NY/23-24/208,,17-Jul-23,,2023-07-17,,32910.00,,32910.00,,Invoice found only in Tally
TALLY_ONLY,,27,,NY/23-24/214,,NY/23-24/214,,21-Jul-23,,2023-07-21,,17277.00,,17277.00,,Invoice found only in Tally
TALLY_ONLY,,29,,NY/23-24/239,,NY/23-24/239,,27-Jul-23,,2023-07-27,,9757.00,,9757.00,,Invoice found only in Tally
TALLY_ONLY,,32,,NY/23-24/240,,NY/23-24/240,,31-Jul-23,,2023-07-31,,34321.00,,34321.00,,Invoice found only in Tally
TALLY_ONLY,,33,,NY/23-24/250,,NY/23-24/250,,11-Aug-23,,2023-08-11,,19570.00,,19570.00,,Invoice found only in Tally
TALLY_ONLY,,34,,NY/23-24/251,,NY/23-24/251,,11-Aug-23,,2023-08-11,,14960.00,,14960.00,,Invoice found only in Tally
TALLY_ONLY,,37,,NY/23-24/264,,NY/23-24/264,,25-Aug-23,,2023-08-25,,22475.00,,22475.00,,Invoice found only in Tally
TALLY_ONLY,,38,,NY/23-24/270,,NY/23-24/270,,30-Aug-23,,2023-08-30,,44897.00,,44897.00,,Invoice found only in Tally
TALLY_ONLY,,39,,NY/23-24/271,,NY/23-24/271,,30-Aug-23,,2023-08-30,,57618.00,,57618.00,,Invoice found only in Tally
TALLY_ONLY,,40,,NY/23-24/272,,NY/23-24/272,,30-Aug-23,,2023-08-30,,36141.00,,36141.00,,Invoice found only in Tally
TALLY_ONLY,,41,,NY/23-24/274,,NY/23-24/274,,31-Aug-23,,2023-08-31,,38462.00,,38462.00,,Invoice found only in Tally
TALLY_ONLY,,42,,NY/23-24/275,,NY/23-24/275,,31-Aug-23,,2023-08-31,,26869.00,,26869.00,,Invoice found only in Tally
TALLY_ONLY,,43,,NY/23-24/276,,NY/23-24/276,,31-Aug-23,,2023-08-31,,25802.00,,25802.00,,Invoice found only in Tally
TALLY_ONLY,,47,,NY/23-24/293,,NY/23-24/293,,21-Sep-23,,2023-09-21,,55400.00,,55400.00,,Invoice found only in Tally
TALLY_ONLY,,48,,NY/23-24/298,,NY/23-24/298,,28-Sep-23,,2023-09-28,,26827.00,,26827.00,,Invoice found only in Tally
TALLY_ONLY,,49,,NY/23-24/299,,NY/23-24/299,,28-Sep-23,,2023-09-28,,71408.00,,71408.00,,Invoice found only in Tally
TALLY_ONLY,,51,,NY/23-24/319,,NY/23-24/319,,24-Oct-23,,2023-10-24,,110709.00,,110709.00,,Invoice found only in Tally
TALLY_ONLY,,52,,NY/23-24/353,,NY/23-24/353,,2-Nov-23,,2023-11-02,,30474.00,,30474.00,,Invoice found only in Tally
TALLY_ONLY,,53,,NY/23-24/366,,NY/23-24/366,,24-Nov-23,,2023-11-24,,74498.00,,74498.00,,Invoice found only in Tally
TALLY_ONLY,,54,,NY/23-24/369,,NY/23-24/369,,24-Nov-23,,2023-11-24,,31071.00,,31071.00,,Invoice found only in Tally
TALLY_ONLY,,61,,NY/23-24/411,,NY/23-24/411,,19-Jan-24,,2024-01-19,,58210.00,,58210.00,,Invoice found only in Tally
TALLY_ONLY,,63,,NY/23-24/422,,NY/23-24/422,,31-Jan-24,,2024-01-31,,30910.00,,30910.00,,Invoice found only in Tally
TALLY_ONLY,,66,,NY/23-24/440,,NY/23-24/440,,26-Feb-24,,2024-02-26,,56092.00,,56092.00,,Invoice found only in Tally
TALLY_ONLY,,67,,NY/23-24/446,,NY/23-24/446,,28-Feb-24,,2024-02-28,,22628.00,,22628.00,,Invoice found only in Tally
TALLY_ONLY,,69,,NY/23-24/465,,NY/23-24/465,,15-Mar-24,,2024-03-15,,18044.00,,18044.00,,Invoice found only in Tally
BLINKIT_ONLY_TDS_REVERSAL,,,6,,"TDS-REV-JUNE-60 - due on 30/06/2023
",,TDS-REV-JUNE-60 - DUE ON 30/06/2023,,30/06/2023,,2023-06-30,,1.64,-1.64,,Invoice found only in Blinkit; TDS reversal row
BLINKIT_ONLY_TDS_REVERSAL,,,9,,"TDS-REV-JUL-125 - due on 31/07/2023
",,TDS-REV-JUL-125 - DUE ON 31/07/2023,,31/07/2023,,2023-07-31,,0.57,-0.57,,Invoice found only in Blinkit; TDS reversal row
BLINKIT_ONLY_TDS_REVERSAL,,,16,,"TDS-REV-AUG-20 - due on 31/08/2023
",,TDS-REV-AUG-20 - DUE ON 31/08/2023,,31/08/2023,,2023-08-31,,5.76,-5.76,,Invoice found only in Blinkit; TDS reversal row
BLINKIT_ONLY_TDS_REVERSAL,,,17,,"TDS-REV-AUG-390 - due on 31/08/2023
",,TDS-REV-AUG-390 - DUE ON 31/08/2023,,31/08/2023,,2023-08-31,,5.01,-5.01,,Invoice found only in Blinkit; TDS reversal row
BLINKIT_ONLY_TDS_REVERSAL,,,18,,"TDS-REV-AUG-414 - due on 31/08/2023
",,TDS-REV-AUG-414 - DUE ON 31/08/2023,,31/08/2023,,2023-08-31,,23.04,-23.04,,Invoice found only in Blinkit; TDS reversal row
BLINKIT_ONLY_TDS_REVERSAL,,,19,,"TDS-REV-AUG-516 - due on 31/08/2023
",,TDS-REV-AUG-516 - DUE ON 31/08/2023,,31/08/2023,,2023-08-31,,35.46,-35.46,,Invoice found only in Blinkit; TDS reversal row
BLINKIT_ONLY_TDS_REVERSAL,,,20,,"TDS-REV-AUG-559 - due on 31/08/2023
",,TDS-REV-AUG-559 - DUE ON 31/08/2023,,31/08/2023,,2023-08-31,,8.82,-8.82,,Invoice found only in Blinkit; TDS reversal row
BLINKIT_ONLY_TDS_REVERSAL,,,21,,"TDS-REV-AUG-599 - due on 31/08/2023
",,TDS-REV-AUG-599 - DUE ON 31/08/2023,,31/08/2023,,2023-08-31,,4.73,-4.73,,Invoice found only in Blinkit; TDS reversal row
BLINKIT_ONLY_TDS_REVERSAL,,,25,,"TDS-REV-SEP-57 - due on 30/09/2023
",,TDS-REV-SEP-57 - DUE ON 30/09/2023,,30/09/2023,,2023-09-30,,3.01,-3.01,,Invoice found only in Blinkit; TDS reversal row
BLINKIT_ONLY_TDS_REVERSAL,,,26,,"TDS-REV-SEP-153 - due on 30/09/2023
",,TDS-REV-SEP-153 - DUE ON 30/09/2023,,30/09/2023,,2023-09-30,,11.62,-11.62,,Invoice found only in Blinkit; TDS reversal row
BLINKIT_ONLY_TDS_REVERSAL,,,29,,"TDS-REV-OCT-67 - due on 31/10/2023
",,TDS-REV-OCT-67 - DUE ON 31/10/2023,,31/10/2023,,2023-10-31,,9.40,-9.40,,Invoice found only in Blinkit; TDS reversal row
BLINKIT_ONLY_TDS_REVERSAL,,,33,,"TDS-REV-DEC-80 - due on 31/12/2023
",,TDS-REV-DEC-80 - DUE ON 31/12/2023,,31/12/2023,,2023-12-31,,38.92,-38.92,,Invoice found only in Blinkit; TDS reversal row
BLINKIT_ONLY_TDS_REVERSAL,,,38,,"TDS-REV-JAN-78 - due on 31/01/2024
",,TDS-REV-JAN-78 - DUE ON 31/01/2024,,31/01/2024,,2024-01-31,,3.16,-3.16,,Invoice found only in Blinkit; TDS reversal row
BLINKIT_ONLY_TDS_REVERSAL,,,41,,"TDS-REV-FEB-76 - due on 29/02/2024
",,TDS-REV-FEB-76 - DUE ON 29/02/2024,,29/02/2024,,2024-02-29,,4.99,-4.99,,Invoice found only in Blinkit; TDS reversal row
BLINKIT_ONLY_TDS_REVERSAL,,,44,,"TDS-REV-MAR-78 - due on 31/03/2024
",,TDS-REV-MAR-78 - DUE ON 31/03/2024,,31/03/2024,,2024-03-31,,1.19,-1.19,,Invoice found only in Blinkit; TDS reversal row
