21-Sep-23,To,SALES IGST,GSTSALES,NY/23-24/293,#N/A,55400.00,,Inv not found in Blintit
28-Sep-23,To,SALES IGST,GSTSALES,NY/23-24/298,#N/A,26827.00,,Inv not found in Blintit
28-Sep-23,To,SALES IGST,GSTSALES,NY/23-24/299,#N/A,71408.00,,Inv not found in Blintit
6-Oct-23,To,SALES IGST,GSTSALES,NY/23-24/308,NY/23-24/308,265155.00,,
24-Oct-23,To,SALES IGST,GSTSALES,NY/23-24/319,#N/A,110709.00,,Inv not found in Blintit
2-Nov-23,To,SALES IGST,GSTSALES,NY/23-24/353,#N/A,30474.00,,Inv not found in Blintit
24-Nov-23,To,SALES IGST,GSTSALES,NY/23-24/366,#N/A,74498.00,,Inv not found in Blintit
24-Nov-23,To,SALES IGST,Sales,NY/23-24/369,#N/A,31071.00,,Inv not found in Blintit
2-Dec-23,To,SALES IGST,GSTSALES,NY/23-24/374,NY/23-24/374,118111.00,,
9-Dec-23,To,SALES IGST,GSTSALES,NY/23-24/378,NY/23-24/378,64772.00,,
18-Dec-23,To,SALES IGST,GSTSALES,NY/23-24/387,NY/23-24/387,28195.00,,
29-Dec-23,To,SALES IGST,GSTSALES,NY/23-24/398,NY/23-24/398,65322.00,,
4-Jan-24,To,SALES IGST,GSTSALES,NY/23-24/402,NY/23-24/402,49899.00,,
11-Jan-24,To,SALES IGST,GSTSALES,NY/23-24/409,NY/23-24/409,60923.00,,
19-Jan-24,To,SALES IGST,GSTSALES,NY/23-24/411,#N/A,58210.00,,Inv not found in Blintit
30-Jan-24,To,SALES IGST,GSTSALES,NY/23-24/416,NY/23-24/416,32121.00,,
31-Jan-24,To,SALES IGST,GSTSALES,NY/23-24/422,#N/A,30910.00,,Inv not found in Blintit
14-Feb-24,To,SALES IGST,GSTSALES,NY/23-24/433,NY/23-24/433,118988.00,,
22-Feb-24,To,SALES IGST,GSTSALES,NY/23-24/438,NY/23-24/438,44448.00,,
26-Feb-24,To,SALES IGST,Sales,NY/23-24/440,#N/A,56092.00,,Inv not found in Blintit
28-Feb-24,To,SALES IGST,GSTSALES,NY/23-24/446,#N/A,22628.00,,Inv not found in Blintit
29-Feb-24,To,SALES IGST,GSTSALES,NY/23-24/444,NY/23-24/444,231804.00,,
15-Mar-24,To,SALES IGST,GSTSALES,NY/23-24/465,#N/A,18044.00,,Inv not found in Blintit
30-Mar-24,To,SALES IGST,GSTSALES,NY/23-24/491,NY/23-24/491,83343.00,,
12-Apr-24,To,SALES IGST,Sales,NY/24-25/17,NY/24-25/17,47426.00,,
17-Apr-24,To,SALES IGST,Sales,NY/24-25/23,NY/24-25/23,92331.00,,
18-Apr-24,To,SALES IGST,Sales,NY/24-25/25,NY/24-25/25,100329.00,,
3449187.48,,,,,,,,
,By,Closing Balance,,,,,3449187.48,
3449187.48,,,,,,,3449187.48,
