source_kind,path,relative_path,extension,size_bytes,sha256,readable,extractor,text_path,chars,status,notes
tree,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx inputs - for testing/Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200081242400/Statement pdf/6. Jan-24.PDF,Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200081242400/Statement pdf/6. Jan-24.PDF,.pdf,73394,168bc2cac16e53a2fe1b9440315b588d31939dcca8d0b5105255e15d892bc30e,True,pymupdf,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx_DD_work/extracted_text/Client_Inputs_1._Valyx_FDD_Input_Assets_Bank_account_FY_2023-24_50200081242400_Statement_pdf_6._Jan-24.PDF.f5a82a197f.txt,2064,ok,
tree,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx inputs - for testing/Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200081242400/Statement pdf/7.Feb-24.PDF,Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200081242400/Statement pdf/7.Feb-24.PDF,.pdf,74605,e014de01efc1d8f7a2de64b41962c8e6897cb26d6023db4a665a55453dc5faa1,True,pymupdf,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx_DD_work/extracted_text/Client_Inputs_1._Valyx_FDD_Input_Assets_Bank_account_FY_2023-24_50200081242400_Statement_pdf_7.Feb-24.PDF.bc62bb9bef.txt,3095,ok,
tree,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx inputs - for testing/Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200081242400/Statement pdf/8. Mar-24.PDF,Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200081242400/Statement pdf/8. Mar-24.PDF,.pdf,75663,d28748116d5f30c9407f520b1ff23f87ef30b697de935d3493599f4bf3f2cbbb,True,pymupdf,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx_DD_work/extracted_text/Client_Inputs_1._Valyx_FDD_Input_Assets_Bank_account_FY_2023-24_50200081242400_Statement_pdf_8._Mar-24.PDF.75cee10b72.txt,3839,ok,
tree,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx inputs - for testing/Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200084204390/1. Sep 2023.XLS,Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200084204390/1. Sep 2023.XLS,.xls,43520,a36df47c07d0abaaecc2d286dc36d6dba05f138287fc230558b425d8fc30b7a0,True,xlrd,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx_DD_work/extracted_text/Client_Inputs_1._Valyx_FDD_Input_Assets_Bank_account_FY_2023-24_50200084204390_1._Sep_2023.XLS.38a65e7195.txt,1008,ok,
tree,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx inputs - for testing/Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200084204390/2. Oct 2023.XLS,Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200084204390/2. Oct 2023.XLS,.xls,43008,66afc2de1c8aeafb202ed427d5b5bde377bcac5a884527526d9d19e218010d9b,True,xlrd,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx_DD_work/extracted_text/Client_Inputs_1._Valyx_FDD_Input_Assets_Bank_account_FY_2023-24_50200084204390_2._Oct_2023.XLS.bfb1637009.txt,709,ok,
tree,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx inputs - for testing/Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200084204390/3. Nov 2023.CSV,Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200084204390/3. Nov 2023.CSV,.csv,1193,0be899b9bc27a07e24c36ee14124de2d6f13f5357dd2ff21b4f59c9c29aad68b,True,csv,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx_DD_work/extracted_text/Client_Inputs_1._Valyx_FDD_Input_Assets_Bank_account_FY_2023-24_50200084204390_3._Nov_2023.CSV.3b239cf6b6.txt,1161,ok,
tree,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx inputs - for testing/Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200084204390/4. Dec 2023.XLS,Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200084204390/4. Dec 2023.XLS,.xls,43008,dcad3cc70328c248b08303f3ad3721c854f46518f5031d019f1896114db85411,True,xlrd,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx_DD_work/extracted_text/Client_Inputs_1._Valyx_FDD_Input_Assets_Bank_account_FY_2023-24_50200084204390_4._Dec_2023.XLS.27d280f41a.txt,827,ok,
tree,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx inputs - for testing/Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200084204390/5. Jan 2024.XLS,Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200084204390/5. Jan 2024.XLS,.xls,19968,5588cf092153df97aef4e1d37cf22f91231f56d549fbe191c774042e257f33ab,True,xlrd,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx_DD_work/extracted_text/Client_Inputs_1._Valyx_FDD_Input_Assets_Bank_account_FY_2023-24_50200084204390_5._Jan_2024.XLS.d440bf3b6f.txt,678,ok,
tree,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx inputs - for testing/Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200084204390/6. Feb 2024.XLS,Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200084204390/6. Feb 2024.XLS,.xls,19968,447ec831c0db30c945604762fa884914ea09d54671871a0e1371816c7b84893c,True,xlrd,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx_DD_work/extracted_text/Client_Inputs_1._Valyx_FDD_Input_Assets_Bank_account_FY_2023-24_50200084204390_6._Feb_2024.XLS.caa818232e.txt,873,ok,
tree,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx inputs - for testing/Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200084204390/7. Mar 2024.XLS,Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200084204390/7. Mar 2024.XLS,.xls,19968,48fad1ee9afc42d411cf55ab51f4fcc96003e440047139a5d2f4297e90a07aff,True,xlrd,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx_DD_work/extracted_text/Client_Inputs_1._Valyx_FDD_Input_Assets_Bank_account_FY_2023-24_50200084204390_7._Mar_2024.XLS.805810234e.txt,715,ok,
tree,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx inputs - for testing/Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200084204390/Statement pdf/1. Sept-23.PDF,Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200084204390/Statement pdf/1. Sept-23.PDF,.pdf,72802,bf3e91b5b90055656efaf675903eb7af48f3cf41fa2335bb65bceaa62566a271,True,pymupdf,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx_DD_work/extracted_text/Client_Inputs_1._Valyx_FDD_Input_Assets_Bank_account_FY_2023-24_50200084204390_Statement_pdf_1._Sept-23.PDF.ff04310f9a.txt,1516,ok,
tree,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx inputs - for testing/Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200084204390/Statement pdf/2. Oct-23.PDF,Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200084204390/Statement pdf/2. Oct-23.PDF,.pdf,72499,9a2486b28ece4d8a0555fbf001a090662c3645a80f271cb5aad164ff98211927,True,pymupdf,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx_DD_work/extracted_text/Client_Inputs_1._Valyx_FDD_Input_Assets_Bank_account_FY_2023-24_50200084204390_Statement_pdf_2._Oct-23.PDF.e79d1c4f11.txt,1244,ok,
tree,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx inputs - for testing/Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200084204390/Statement pdf/3. Nov-23.PDF,Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200084204390/Statement pdf/3. Nov-23.PDF,.pdf,72665,66daf02e1b1c038159772da42867b9f276f02e20d9d2032c1c07bfe1e9c115a1,True,pymupdf,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx_DD_work/extracted_text/Client_Inputs_1._Valyx_FDD_Input_Assets_Bank_account_FY_2023-24_50200084204390_Statement_pdf_3._Nov-23.PDF.3bfe9d1d03.txt,1528,ok,
tree,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx inputs - for testing/Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200084204390/Statement pdf/4. Dec-23.PDF,Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200084204390/Statement pdf/4. Dec-23.PDF,.pdf,72660,3b2d8ed6bee8799c3b902405b4ef402cf533b2a2e55bd0160cb62f2dff524839,True,pymupdf,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx_DD_work/extracted_text/Client_Inputs_1._Valyx_FDD_Input_Assets_Bank_account_FY_2023-24_50200084204390_Statement_pdf_4._Dec-23.PDF.a66b46ff28.txt,1356,ok,
tree,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx inputs - for testing/Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200084204390/Statement pdf/5. Jan-24.PDF,Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200084204390/Statement pdf/5. Jan-24.PDF,.pdf,72446,691365bda991dd74b6921cc8019defa34c4b65e2aa76cd80bb02afe819c3bb00,True,pymupdf,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx_DD_work/extracted_text/Client_Inputs_1._Valyx_FDD_Input_Assets_Bank_account_FY_2023-24_50200084204390_Statement_pdf_5._Jan-24.PDF.36ac39fdbd.txt,1200,ok,
tree,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx inputs - for testing/Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200084204390/Statement pdf/6. Feb-24.PDF,Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200084204390/Statement pdf/6. Feb-24.PDF,.pdf,72576,4415094ca0d9374161360d9248a2aec7c7ad622912982d4345d88dc29f4b51c1,True,pymupdf,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx_DD_work/extracted_text/Client_Inputs_1._Valyx_FDD_Input_Assets_Bank_account_FY_2023-24_50200084204390_Statement_pdf_6._Feb-24.PDF.b92e33405d.txt,1383,ok,
tree,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx inputs - for testing/Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200084204390/Statement pdf/7. Mar-24.PDF,Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2023-24/50200084204390/Statement pdf/7. Mar-24.PDF,.pdf,72463,dccba525ab1eee760235ea664cd4cfbbc74c8775ee9b2269d20f0fea1233b215,True,pymupdf,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx_DD_work/extracted_text/Client_Inputs_1._Valyx_FDD_Input_Assets_Bank_account_FY_2023-24_50200084204390_Statement_pdf_7._Mar-24.PDF.6b688d9a1f.txt,1236,ok,
tree,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx inputs - for testing/Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/1. HDFC - 2400/1. April-24.XLS,Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/1. HDFC - 2400/1. April-24.XLS,.xls,21504,85929f17e77e2ee12c0a8cd9a600dbfe46c85675bdfa98eec40f207f401fc7b2,True,xlrd,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx_DD_work/extracted_text/Client_Inputs_1._Valyx_FDD_Input_Assets_Bank_account_FY_2024-25_1._HDFC_-_2400_1._April-24.XLS.4896d9d122.txt,1373,ok,
tree,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx inputs - for testing/Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/1. HDFC - 2400/10.Jan-25.XLS,Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/1. HDFC - 2400/10.Jan-25.XLS,.xls,46080,9c63a9c798f0f1d509c1e3e22361c4a711fb4d8ecb2b3b78e9a4bd49bfd3c765,True,xlrd,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx_DD_work/extracted_text/Client_Inputs_1._Valyx_FDD_Input_Assets_Bank_account_FY_2024-25_1._HDFC_-_2400_10.Jan-25.XLS.d1bb621cd3.txt,2693,ok,
tree,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx inputs - for testing/Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/1. HDFC - 2400/11.Feb-25.XLS,Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/1. HDFC - 2400/11.Feb-25.XLS,.xls,23040,17b9437d9f27e0054d5478930a1dee065332298b86fd6e76ea23acc97f28493f,True,xlrd,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx_DD_work/extracted_text/Client_Inputs_1._Valyx_FDD_Input_Assets_Bank_account_FY_2024-25_1._HDFC_-_2400_11.Feb-25.XLS.652b5783ba.txt,2401,ok,
tree,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx inputs - for testing/Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/1. HDFC - 2400/12.Mar-25.XLS,Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/1. HDFC - 2400/12.Mar-25.XLS,.xls,24064,1f17eeebda1a06bd3e65604a585f995e659398f2b2881ecc45367905fbdc46e5,True,xlrd,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx_DD_work/extracted_text/Client_Inputs_1._Valyx_FDD_Input_Assets_Bank_account_FY_2024-25_1._HDFC_-_2400_12.Mar-25.XLS.65e657b35f.txt,3131,ok,
tree,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx inputs - for testing/Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/1. HDFC - 2400/2. May-24.XLS,Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/1. HDFC - 2400/2. May-24.XLS,.xls,22016,37b1508d5949a1ac79b85a20cc3b060944631bd7946ca9cc063f62b06e907839,True,xlrd,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx_DD_work/extracted_text/Client_Inputs_1._Valyx_FDD_Input_Assets_Bank_account_FY_2024-25_1._HDFC_-_2400_2._May-24.XLS.8153bba905.txt,1862,ok,
tree,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx inputs - for testing/Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/1. HDFC - 2400/3. June-24.XLS,Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/1. HDFC - 2400/3. June-24.XLS,.xls,22528,52586e33085a1bfa8f94fd87aef6c1069e567f8c55e2ef7d14286e6418c97899,True,xlrd,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx_DD_work/extracted_text/Client_Inputs_1._Valyx_FDD_Input_Assets_Bank_account_FY_2024-25_1._HDFC_-_2400_3._June-24.XLS.3acac0289d.txt,2058,ok,
tree,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx inputs - for testing/Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/1. HDFC - 2400/4. July-24.XLS,Client Inputs/1. Valyx FDD Input/Assets/Bank account/FY 2024-25/1. HDFC - 2400/4. July-24.XLS,.xls,44544,38b865fc209848d5c7f05d5d843a1e447bf44e6c611d7e6612baf6b34e4af42d,True,xlrd,/Users/basethesis/Desktop/benchmark_hermes-fabric/DD/Vlayx_DD_work/extracted_text/Client_Inputs_1._Valyx_FDD_Input_Assets_Bank_account_FY_2024-25_1._HDFC_-_2400_4._July-24.XLS.fecd75fd17.txt,1700,ok,
